"moderator","subgroup","k","estimate_r","ci_lower_r","ci_upper_r","pi_lower_r","pi_upper_r","i2_pct"
"Continent","Asia",18,0.378634139231503,0.240112968390059,0.502043465358351,-0.248163904369184,0.781955504181391,94.7328279598588
"Continent","Australia",2,0.554652762651841,0.309191042432041,0.730828099254196,0.309191042432041,0.730828099254196,0
"Continent","Europe",14,0.389943921863921,0.268107747248418,0.499503150768454,-0.0950969130850241,0.725354321200122,93.0095817835945
"Continent","North America",3,0.331552248360412,-0.272869105636059,0.748310080147856,-0.709035820964122,0.917720402572334,96.0324076567929
"Continent","Other",1,0.261,0.177539705895014,0.340732710303037,NA,NA,NA
"Industry","Manufacturing",21,0.411640982307419,0.293335581238134,0.517528917350875,-0.176100298865847,0.783018749791522,95.2827631034508
"Industry","Mixed",13,0.404768436456303,0.332416974700514,0.472383617171194,0.145659423069418,0.611913414338467,78.2326641612525
"Industry","Services",4,0.199902224414408,-0.366605485773309,0.658271510729048,-0.798141320691246,0.904918835609792,97.7427768462488
