"analysis","estimator","k","total_n","estimate_z","estimate_r","ci_lower_r","ci_upper_r","pi_lower_r","pi_upper_r","tau2_z","q","q_df","q_p","i2_pct","p_value"
"Submitted benchmark: observed effects","Meta-Essentials-compatible DL random effects",39,10011,0.406475927056948,0.385476339121751,0.311098001182219,0.455161400413026,-0.107573107181696,0.726343127929174,0.0628327716640731,639.668128527017,38,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000254217774244386,94.0594195168823,0.00000000000761420782941842
"Submitted benchmark: reliability-corrected effects","Meta-Essentials-compatible DL random effects",39,10011,0.50399897684212,0.465256325628037,0.37434109633649,0.547312066758691,-0.156664806163062,0.822973917066308,0.103943643104913,1033.33373370146,38,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000458405192164761,96.322582069988,0.0000000000301226169757825
"Primary audited model: remove mean-imputed outcome","REML random effects with Knapp-Hartung inference",38,9765,0.407124899361746,0.386028741060292,0.30956655370079,0.457530781807713,-0.117064078040302,0.73145668665256,0.0652206222605121,639.65948710177,37,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000608770061413031,94.2685529216922,0.0000000000195216912958662
"Sensitivity: also remove documented +0.05 adjustments","REML random effects with Knapp-Hartung inference",28,7416,0.391976605820411,0.37306299101202,0.272406579474257,0.465642341466756,-0.193855166191913,0.75319271148691,0.0792056637453102,540.005936437225,27,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000829237380658508,95.3518435976496,0.000000109578884489292
"Sensitivity: clearly documented correlations only","REML random effects with Knapp-Hartung inference",13,3748,0.21462028075558,0.211384613918918,0.0804076059370285,0.335185733017007,-0.257960087556907,0.600009740609258,0.0444546379968788,140.897076612394,12,0.00000000000000000000000394683059790981,92.5475862196528,0.00447426212342308
"Sensitivity: corrected effects with reported reliabilities only","REML random effects with Knapp-Hartung inference",32,7311,0.548987090050317,0.499760671115865,0.400851979506692,0.587153358175387,-0.147395360584667,0.847285469680047,0.113231556060053,779.603594607394,31,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000588910417487226,96.2041773516236,0.000000000367112042467094
